product_link,product_name,images,price
https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosJaHsydHAyDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosndH_jpH_Hfbm-srcHi6syOHmFiy3zwrfo5rM1i6sUdomdOo_eFHsUdHpHh6_yOomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBv1pzE_1z-8jOku_VvzJuE_Ozu8jN_Z9o-Q1dFyfFN8B29zSBgHMP2_fB-8JO_oIxouJud_uzV8JO1z9xouJud_uo-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2ZMOgQu-D_uzSHO2_H3xqucWd_VzzPOB919zgqB-0_uHhqJNW3M2vzJ7F_M2DQ1N1Z3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooQ9xfgAod6c-JzSoiHfedgjPR8BxEz_z6qBydgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBk_9B6q_zN_uzu8jN1u_u6qjBE_uzCo1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkgpCHqB1h_jzC81OkgR2o8j1O_M2uHJBXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDhop1NbAJdHAHDH_Kfou7DUMNwyfVXgcBjy9zB9fVjraUEH_Hpbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_JRH_jDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJdos1ibmUh6_1aUiFiH_KfomUDUsJNHpeibmUpoi-Pwe?t=desktop&is_search=1&keywords=kacamata&page=4&ob=23&management_type=2&r=https%3A%2F%2Fwww.tokopedia.com%2Fgloryina%2Fkacamata-safety-apd-anti-virus-lensa-photocromic-rubah-warna-evo5009-bluecromic%3Fsrc%3Dtopads&src=search&dv=desktop,kacamata safety APD anti virus lensa photocromic rubah warna evo5009 - bluecromic,https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/7/30/44978490/44978490_b2069bac-b39f-4632-9560-56fbe05832a7_1080_1080.webp,Rp300.000
https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoAHRopHOopHDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosndH_jpH_Hfbm-srcHi6s1FHmFiy3zwrfo5rM1i6sUdomdOHAKpHsnpHsjRosjhbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Qu223jPu8JYJgchHu7gD_OzVPJNJeMxqepV2_jPz8Jh9z_-qQ177_92zHjY93_Voq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgAod6c-J_Mgoucra_Bxd6cHp1Sz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMHh_c2uoJNJZ92ozV1h_uzsHJOJypV-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMrF_c2uP7YJ_9BozJON_OzsHjY1z3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QH_rO6ZFh6AnpbAJdosuPbm-X9foxQMz2gcV7guYxgIHi6sJpHaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6srOHpyDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJdos1ibmUh6_1aUiFiH_KfomUDUsJNHpeibmUpoi-Pwe?ob=23&t=desktop&dv=desktop&is_search=1&page=4&management_type=2&r=https%3A%2F%2Fwww.tokopedia.com%2Foptikcalisa%2Fframe-kacamata-reebok-b80351-gratis-lensa-minus-plus-silinder-lensa-clear%3Fsrc%3Dtopads&src=search&keywords=kacamata,Frame Kacamata Reebok B80351 + gratis lensa minus/plus/silinder - Lensa clear,https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/1/13/1719755/1719755_1cb4dd38-b73e-4b71-b629-c73ca9908224_700_700.webp,Rp250.000
https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_eOHsKaos1DUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosndH_jpH_Hfbm-srcHi6syFHmFiy3zwrfo5rM1i6sUdomd7oAjF6_UdoAr76_rfbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-81YAoAV68j1F_32SH1NEz_CoqMrh_SB-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2ZMOgQu-D_uzSHO2_H3xqucWd_VzzPOB919zgqB-0_uHhqJNW3M2vzJ7F_M2DQ1N1Z3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooQ9xfgAod6c-JzSoiHfedgjPR8BxEz_z6qBydgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBk_9x68_zR_S2uH7N139xozcr7_32VH1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkgpCHqBJF_OzCo1OkgpC68BJO_S2gq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDhop1NbAJdHAHDH_Kfou7DUMNwyfVXgcBjy9zB9fVjraUEH_Hpbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_1foAJDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJdos1ibmUh6_1aUiFiH_KfomUDUsJNHpeibmUpoi-Pwe?is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fanteroglasses%2Fframe-kacamata-moscot-billik-small-transparan-grade-original%3Fsrc%3Dtopads&keywords=kacamata&ob=23&management_type=2&dv=desktop&src=search&page=4&t=desktop,frame kacamata moscot billik small transparan grade original,https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/5/7/67a3197f-bc1d-429c-b0c3-05c58dd2017c.jpg.webp,Rp240.000
https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoseRopUpH_1DUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosndH_jpH_Hfbm-srcHi6sKOHmFiy3zwrfo5rM1i6sUdomdpoprRoAn7osKpH_Jabm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-8JYAoIxvzJ17_uzS8JYJz_zoucPd_7zoq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBqQ1203BzVoJdau9zguO1O_uHFHJOIzMWHu7jF3jzVPVB13MOg8MPE_jzgou2ku9B-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJ2pysoj6cgIPRxizpjpgjxdr77h6IxvzVjhgjxd8MzIHcBHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z92ozJVO_jz0H1NEqpVozVuN_92So1NAZ9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_z6epzE_S2sH7NJe_C6qMPE_uzV81BXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDhop1NbAJdHAHDH_Kfou7DUMNwyfVXgcBjy9zB9fVjraUEH_Hpbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEoAHdHpKDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJdos1ibmUh6_1aUiFiH_KfomUDUsJNHpeibmUpoi-Pwe?ob=23&dv=desktop&src=search&keywords=kacamata&is_search=1&page=4&management_type=1&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Far-jaya-collections%2Fpromo-kacamata-plus-lipat-kacamata-baca-pulpen-plus-1-00%3Fsrc%3Dtopads,PROMO Kacamata PLUS lipat Kacamata BACA pulpen - Plus 1.00,https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/8/28/894190/894190_3338d97c-dbe5-4764-b393-04ca23284f87_402_402.webp,Rp28.800
https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHpU7HpJao_UDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosndH_jpH_Hfbm-srcHi6srOHmFiy3zwrfo5rM1i6sUdomdposypos1N6_naHprdoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3Oqqu2Iu9xvzczD_VPcQJY1z9z6zJ-t3jHhq1NI19xHu71a3MOooJOE1_-vuOjh_3B-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR83-I6_oMZIxp_uPdPMep8AxizJNM_uzSHjNy8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_3208Jhkqp-68j1O_7zS8JOJ19xo8jjpZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32SHJhk__-6qj7a_Bz0o1OJZ9268MrhZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pJRo_jDH_KFHaFh6AyO9ZFiQBYsy3Njq3zxPcuwy3zpUsthHpHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsthH_1doiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiH_KfoZUDUsJNo_UibmUh6Ay7UiFiH_jpomUDUsHfUBOY?page=4&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fcahyaoptik%2Fkacamata-minus-frame-kacamata-minus-frame-korea-bulat-kacamata-frame-3%3Fsrc%3Dtopads&is_search=1&keywords=kacamata&t=desktop&src=search&ob=23&dv=desktop,kacamata minus frame kacamata minus frame korea bulat kacamata frame 3,https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/7/11/15757206/15757206_75487e39-408a-43e7-a5e2-344fd471bbf5_500_500.webp,Rp95.000
https://www.tokopedia.com/kiossehat8/face-shield-dan-frame-kacamata-pelindung-free-packing-bubble-klip-biru?whid=0,FACE SHIELD DAN FRAME KACAMATA PELINDUNG FREE PACKING BUBBLE,https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/13/e268885a-89b5-4b3f-a9e7-475794407445.png.webp,Rp2.900
https://www.tokopedia.com/sentralonline-1/face-shield-kacamata-import-pelindung-wajah?whid=0,Face Shield Kacamata Import Pelindung Wajah,https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/18/a48843ef-9c7c-4e3c-b620-7f6b460ab337.jpg.webp,Rp7.500
https://www.tokopedia.com/zayn-alfaro-store/kacamata-face-shield-box?whid=0,kacamata face shield + box,https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/8/30/6a0648a8-55a0-4ab8-ba2e-adf6606ef596.jpg.webp,Rp4.200
https://www.tokopedia.com/webkomputindo/big-vision-glasses-magnifier-kacamata-pembesar?whid=0,Big Vision Glasses Magnifier / Kacamata Pembesar,https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2016/3/9/2924315/2924315_c400fa5d-bf11-482b-8fbc-a77937b35d95.jpg.webp,Rp24.000
https://www.tokopedia.com/centalkacamata/kacamata-sunglass-pria-wanita-clip-on-5-in-1-2258a-super?whid=0,Kacamata / Sunglass Pria Wanita Clip On 5 in 1 2258A Super,https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2018/12/15/4965847/4965847_78e5dce3-73b3-4251-b493-f831df134c1c.webp,Rp90.000
